Rule Name,Rule
CI Definition - Unmarked Information Deletion,"IDENTIFY
Identify the definition of Confidential Information, Proprietary Information, or Evaluation Material. Look for clauses defining what information is protected, typically in the definitions section or early in the agreement.

ANALYSE
Analyse the definition to determine whether it includes language such as ""whether or not marked as confidential"" or ""whether or not designated as confidential.""

ACTION
Based on your analysis, apply the following rules: (a) If no ""whether or not marked"" language is present, make no changes. (b) If the definition includes ""whether or not marked as confidential,"" delete that phrase. (c) If the definition includes ""whether or not designated,"" delete that phrase. Delete only the unmarked information expansion; do not delete the entire definition."
CI Definition - Public Information Deletion,"IDENTIFY
Identify the definition of Confidential Information. Look for language improperly including publicly available information within the scope of protection.

ANALYSE
Analyse the definition to determine whether it includes language such as ""regardless of whether such information is publicly available"" or ""including information in the public domain.""

ACTION
Based on your analysis, apply the following rules: (a) If no public information inclusion language is present, make no changes. (b) If the definition includes ""regardless of whether such information is publicly available,"" delete that phrase. (c) If the definition includes ""including information in the public domain,"" delete that phrase. Delete only the public information expansion; do not delete the entire definition."
CI Definition - Residual Knowledge Deletion,"IDENTIFY
Identify the definition of Confidential Information. Look for language including residual knowledge or general skills within the scope of protection.

ANALYSE
Analyse the definition to determine whether it includes language such as ""retained in unaided memory,"" ""residual knowledge,"" or ""general skills, knowledge, and experience.""

ACTION
Based on your analysis, apply the following rules: (a) If no residual knowledge language is present, make no changes. (b) If the definition includes ""retained in unaided memory,"" delete that phrase. (c) If the definition includes ""residual knowledge,"" delete that phrase. (d) If the definition includes ""general skills, knowledge, and experience,"" delete that phrase. Delete only the residual knowledge expansion; do not delete the entire definition."
CI Definition - Oral Disclosure Amendment,"IDENTIFY
Identify the definition of Confidential Information. Look for provisions addressing how oral disclosures are treated.

ANALYSE
Analyse the definition to determine whether oral disclosures require written confirmation to be deemed Confidential Information, or whether they are included without confirmation.

ACTION
Based on your analysis, apply the following rules: (a) If oral disclosures require written confirmation, make no changes. (b) If the definition states ""oral disclosures need not be confirmed in writing,"" amend to replace that phrase with ""oral disclosures shall be confirmed in writing within ten (10) business days to be deemed Confidential Information."" Amend only the oral disclosure treatment; do not delete the entire definition."
CI Carve-Outs - Public Domain Addition,"IDENTIFY
Identify the exclusions or carve-outs from the Confidential Information definition. Look for language such as ""shall not include,"" ""does not include,"" ""excludes,"" or ""exceptions.""

ANALYSE
Analyse the carve-outs to determine whether a Public Domain exclusion is present covering information that is or becomes publicly available through no fault of the Receiving Party.

ACTION
Based on your analysis, apply the following rules: (a) If a Public Domain carve-out is present, make no changes. (b) If no Public Domain carve-out is present, add the following to the existing exclusions list: ""information that is or becomes publicly available through no fault of the Receiving Party."" Insert at the end of the existing carve-out list, maintaining the existing numbering format."
CI Carve-Outs - Prior Knowledge Addition,"IDENTIFY
Identify the exclusions or carve-outs from the Confidential Information definition.

ANALYSE
Analyse the carve-outs to determine whether a Prior Knowledge exclusion is present covering information known to the Receiving Party before disclosure.

ACTION
Based on your analysis, apply the following rules: (a) If a Prior Knowledge carve-out is present, make no changes. (b) If no Prior Knowledge carve-out is present, add the following to the existing exclusions list: ""information that was known to the Receiving Party prior to disclosure, as evidenced by written records."" Insert at the end of the existing carve-out list, maintaining the existing numbering format."
CI Carve-Outs - Third Party Source Addition,"IDENTIFY
Identify the exclusions or carve-outs from the Confidential Information definition.

ANALYSE
Analyse the carve-outs to determine whether a Third Party Source exclusion is present covering information received from a third party not bound by confidentiality.

ACTION
Based on your analysis, apply the following rules: (a) If a Third Party Source carve-out is present, make no changes. (b) If no Third Party Source carve-out is present, add the following to the existing exclusions list: ""information received from a third party not bound by confidentiality obligations to the Disclosing Party."" Insert at the end of the existing carve-out list, maintaining the existing numbering format."
CI Carve-Outs - Independent Development Addition,"IDENTIFY
Identify the exclusions or carve-outs from the Confidential Information definition.

ANALYSE
Analyse the carve-outs to determine whether an Independent Development exclusion is present covering information developed without use of Confidential Information.

ACTION
Based on your analysis, apply the following rules: (a) If an Independent Development carve-out is present, make no changes. (b) If no Independent Development carve-out is present, add the following to the existing exclusions list: ""information independently developed by the Receiving Party without use of or reference to the Confidential Information."" Insert at the end of the existing carve-out list, maintaining the existing numbering format."
Term and Survival - Perpetual Amendment,"IDENTIFY
Identify clauses addressing the survival of confidentiality obligations. Look for sections titled ""Term,"" ""Duration,"" ""Confidentiality Period,"" or ""Survival.""

ANALYSE
Analyse each survival provision to determine whether survival is stated as ""perpetual,"" ""in perpetuity,"" ""indefinite,"" ""indefinitely,"" or ""without limitation as to time.""

ACTION
Based on your analysis, apply the following rules: (a) If survival is stated with a defined period, make no changes. (b) If survival is stated as ""perpetual,"" ""in perpetuity,"" ""indefinite,"" ""indefinitely,"" or ""without limitation as to time,"" amend to replace that phrase with ""three (3) years following the termination or expiration of this Agreement."" Amend only the survival period; do not delete the survival provision."
Term and Survival - Excessive Duration Amendment,"IDENTIFY
Identify clauses addressing the survival of confidentiality obligations with a defined duration.

ANALYSE
Analyse whether the survival period exceeds five years.

ACTION
Based on your analysis, apply the following rules: (a) If survival is five years or less, make no changes. (b) If survival exceeds five years (such as ten years, seven years, or similar), amend to replace the duration with ""three (3) years following the termination or expiration of this Agreement."" Amend only the survival period; do not delete the survival provision."
